Rating,# of patient feedback,page_source,Specialty,Experience,Pincode,City,State,Hospital/Clinic name,Address,Education,Doctor name
 (202 ratings),3 patient feedback(s),https://www.lybrate.com/hyderabad/doctor/dr-abhishek-kalundia-veterinarian?lpt=PS-SRP,Veterinarian,"15, Years experience",,Bastar,Chhattisgarh ,"Cornerstone Pet Clinic, ","Banjara Hills,,,Hyderabad,",MVSc (Ph.D pursuing),"Dr. ,Abhishek Kalundia"
rating not found,,https://www.lybrate.com/jagdalpur/doctor/dr-reena-morla-dentist?lpt=PS-SRP,Dentist,experience not found,,Bastar,Chhattisgarh ,"aishwary dental clinic, ",",Jagdalpur,,• 15.8 km",,"Dr. ,Reena Morla"
rating not found,,https://www.lybrate.com/jagdalpur/doctor/dr-m-k-jaiswal-general-physician?lpt=PS-SRP,General Physician,experience not found,,Bastar,Chhattisgarh ,"Dr. M.K. Jaiswal, ",",Jagdalpur,,• 16.2 km",,"Dr. ,M. K. Jaiswal"
rating not found,,https://www.lybrate.com/jagdalpur/doctor/dr-vijendra-morla-physiotherapist?lpt=PS-SRP,Physiotherapist,"13, Years experience",,Bastar,Chhattisgarh ,"aishwary physiotherapy clinic, ",",Jagdalpur,,• 15.8 km",MPT - Orthopedic Physiotherapy,"Dr. ,Vijendra Morla"
 (536 ratings),17 patient feedback(s),https://www.lybrate.com/cuttack/doctor/dr-souvagya-ranjan-dentist?lpt=PS-SRP,Dentist,"9, Years experience",,Bastar,Chhattisgarh ,"Head Neck and Jaw Clinic , ",",Koraput,,• 92.6 km",BDS,"Dr. ,Souvagya Ranjan Kar"
 (187 ratings),3 patient feedback(s),https://www.lybrate.com/koraput/doctor/dr-syamasundar-panigrahi-homeopath?lpt=PS-SRP,Homeopath,"22, Years experience",,Bastar,Chhattisgarh ,"Computerised Homoeopathic Diagnosti ..., ",",koraput,,• 102.8 km","MDP, MD - Alternate Medicine, BHMS","Dr. ,Syamasundar Panigrahi"
rating not found,,https://www.lybrate.com/manipal/doctor/dr-sravan-chenji-preventive-medicine-specialist?lpt=PS-SRP,Preventive Medicine Specialist,"8, Years experience",,Bastar,Chhattisgarh ,"Online Consultation, ","Randesan,,,Gandhinagar,","MD Community Medicine , MBBS","Dr. ,Sravan Chenji"
rating not found,,https://www.lybrate.com/pune/doctor/dr-ashwini-godbole-toxicologist?lpt=PS-SRP,Toxicologist,experience not found,,Bastar,Chhattisgarh ,"Chiranjeev Clinic, ","Sadashiv peth,,,Pune,",,"Dr. ,Ashwini Godbole"
 (269 ratings),63 patient feedback(s),https://www.lybrate.com/kanpur/doctor/jivaayurveda?lpt=PS-SRP,Ayurveda,"21, Years experience",,Raipur,Chhattisgarh ,"Jiva Ayurveda - Raipur, ",",Raipur,,","Bachelor of Ayurveda, Medicine and Surgery (BAMS)",Jiva Ayurveda
 (20 ratings),1 patient feedback,https://www.lybrate.com/chennai/doctor/dr-vlcc-wellness-dermatologist?lpt=PS-SRP,Dermatologist,experience not found,,Raipur,Chhattisgarh ,"Vlcc Wellness - Shankar Nagar - Rai ..., ","Shankar Nagar,,,Raipur,",,Vlcc Wellness
 (1186 ratings),13 patient feedback(s),https://www.lybrate.com/indore/doctor/dr-sumeet-jaiswal-cosmetic-plastic-surgeon?lpt=PS-SRP,Cosmetic/Plastic Surgeon,"11, Years experience",,Raipur,Chhattisgarh ,"Zenith Plastic & Cosmetic Surgery ( ..., ","Shankar Nagar,,,Raipur,",M.Ch - Plastic Surgery,"Dr. ,Sumeet Jaiswal"
 (113 ratings),14 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-saurabh-sharma-dentist-1?lpt=PS-SRP,Dentist,"12, Years experience",,Raipur,Chhattisgarh ,"Chirayu Superspeciality Dental Clin ..., ",",Raipur,,","BDS, MDS - Orthodontics","Dr. ,Saurabh Sharma"
 (628 ratings),3 patient feedback(s),https://www.lybrate.com/gurgaon/doctor/fortis-healthcare?lpt=PS-SRP,Cardiologist,"19, Years experience",,Raipur,Chhattisgarh ,"Fortis Escorts Heart Centre - Raipu ..., ",",Raipur,,",A Fortis Hospital Association,Fortis Healthcare
 (993 ratings),4 patient feedback(s),https://www.lybrate.com/mumbai/doctor/richfeel-dermatologist?lpt=PS-SRP,Dermatologist,"12, Years experience",,Raipur,Chhattisgarh ,"RichFeel Trichology Center - Rajpur, ","Telibandha,,,Raipur,",Trichologist,Richfeel
 (11 ratings),,https://www.lybrate.com/raipur/doctor/dr-sameer-pahlajani-ivf-specialist?lpt=PS-SRP,IVF Specialist,"19, Years experience",,Raipur,Chhattisgarh ,"Raipur - IVF(Pahlajani Test Tube Ba ..., ","Anupam Nagar,,,Raipur,",MBBS,"Dr. ,Sameer Pahlajani"
 (25 ratings),2 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-asha-jain-gynaecologist-3?lpt=PS-SRP,Gynaecologist,"32, Years experience",,Raipur,Chhattisgarh ,"Srimaa Sarada Arogyadham, ","Changorabhata,,,Raipur,","MBBS, MD - Obstetrtics & Gynaecology, DNB (Obstetrics and Gynecology), Colposcopy Training","Dr. ,Asha Jain"
 (1345 ratings),12 patient feedback(s),https://www.lybrate.com/durg/doctor/dr-deepak-kothari-cosmetic-plastic-surgeon?lpt=PS-SRP,Cosmetic/Plastic Surgeon,"14, Years experience",,Raipur,Chhattisgarh ,"Shri Medishine Hospital, ","New Rajendre Nagar,,,Raipur,","M Ch. Plastic Surgery, MS - General Surgery, MBBS","Dr. ,Deepak Kothari"
 (64 ratings),4 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-ankur-singhal-orthopedist-2?lpt=PS-SRP,Orthopedist,"15, Years experience",,Raipur,Chhattisgarh ,"CG Hospital Chattisgarh Dental Hosp ..., ","Janta Colony,,,Raipur,",MS - Orthopaedics,"Dr. ,Ankur Singhal"
 (2783 ratings),11 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-kanika-mehra-dentist?lpt=PS-SRP,Dentist,"11, Years experience",,Raipur,Chhattisgarh ,"Dr. Kanika Mehra's Clinic, ","Telibandha,,,Raipur,",BDS,"Dr. ,Kanika Mehra"
 (12 ratings),,https://www.lybrate.com/raipur/doctor/dr-neeraj-munjal-gynaecologist?lpt=PS-SRP,Gynaecologist,"16, Years experience",,Raipur,Chhattisgarh ,"Raipur - IVF(Pahlajani Test Tube Ba ..., ","Anupam Nagar,,,Raipur,","MBBS, MS - Obstetrics and Gynaecology, DNB (Obstetrics and Gynecology)","Dr. ,Neeraj Pahlajani"
 (20 ratings),,https://www.lybrate.com/raipur/doctor/dr-aradhana-pathak-homeopath?lpt=PS-SRP,Homeopath,"13, Years experience",,Raipur,Chhattisgarh ,"Angel Homoeo Care, ","DDU Nagar,,,Raipur,",BHMS,"Dr. ,Aradhana Pathak"
 (263 ratings),2 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-vibha-jain-general-physician?lpt=PS-SRP,Homeopath,"19, Years experience",,Raipur,Chhattisgarh ,"Health Care Unit, ","Purani Basti,,,Raipur,",BHMS,"Dr. ,Vibha Jain"
 (10 ratings),,https://www.lybrate.com/gurgaon/doctor/dr-vlcc-wellness-dermatologist-1?lpt=PS-SRP,Dermatologist,"30, Years experience",,Raipur,Chhattisgarh ,"Vlcc Wellness - Shankar Nagar - Rai ..., ","Shankar Nagar,,,Raipur,","Beauty & Slimming, Weight Management, Skin, Body & Hair Care Treatments","Dr. ,Vlcc Wellness"
 (35 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-akhilesh-shukla-dermatologist-1?lpt=PS-SRP,Dermatologist,"8, Years experience",,Raipur,Chhattisgarh ,"Dr. Shukla's Skin and Hair Clinic, ","Daldal Sheoni Road,,,Raipur,","MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Skin & VD, DNB","Dr. ,Akhilesh Shukla"
 (10 ratings),,https://www.lybrate.com/raipur/doctor/dr-pragya-suryavanshi-gynaecologist?lpt=PS-SRP,Gynaecologist,"21, Years experience",,Raipur,Chhattisgarh ,"SMC Hospital, ","Ashoka Ratan,,,Raipur,","MBBS, MD - Obstetrics & Gynaecology","Dr. ,Pragya Suryavanshi"
 (556 ratings),453 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-bharat-singhania-dermatologist?lpt=PS-SRP,Dermatologist,"23, Years experience",,Raipur,Chhattisgarh ,"Singhania skin clinic, ",",Raipur,,","MBBS, DDV , MD - Dermatology","Dr. ,Bharat Singhania"
 (17 ratings),5 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-kedar-agrawal-orthopedist?lpt=PS-SRP,Orthopedist,"32, Years experience",,Raipur,Chhattisgarh ,"Agrasen Hospital, ",",Raipur,,","MBBS, MS - Orthopaedics","Dr. ,Kedar Agrawal"
 (10 ratings),,https://www.lybrate.com/raipur/doctor/dr-pooja-kadhi-gynaecologist?lpt=PS-SRP,Gynaecologist,"17, Years experience",,Raipur,Chhattisgarh ,"Sparsh Mother and Child Care, ",",Raipur,,","MBBS, MD - Obstetrics & Gynaecology, Diploma in Reproductive Medicine & Embryology, Fellowship in Gynaecology Endoscopy, certificate of achievement in aesthetic and functional gynecology 2018","Dr. ,Pooja Kadhi"
 (15 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-ritesh-sahu-neurologist?lpt=PS-SRP,Neurologist,"8, Years experience",,Raipur,Chhattisgarh ,"Neuro Care Centre, ",",Raipur,,",DM - Neurology,"Dr. ,Ritesh Sahu"
 (10 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-kamal-manikpuri-homeopath?lpt=PS-SRP,Homeopath,"9, Years experience",,Raipur,Chhattisgarh ,"V Care Polyclinic, ","Mahadev Ghat,,,Raipur,","BHMS, MA - Psychology, DNHE","Dr. ,Kamal Manikpuri"
 (62 ratings),4 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-amit-kumar-mukherjee-neurologist?lpt=PS-SRP,Neurologist,"16, Years experience",,Raipur,Chhattisgarh ,"Dr Mukherjee's Neuro & Child Clinic, ","Shankar Nagar,,,Raipur,","MBBS Bachelor of Medicine and Bachelor of Surgery, MS - General Surgery, MCh - Neuro Surgery","Dr. ,Amit Kumar Mukherjee"
 (67 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-nishant-makhija-dermatologist?lpt=PS-SRP,Dermatologist,"8, Years experience",,Raipur,Chhattisgarh ,"MAKHIJA SKIN CLINIC , ",",Raipur,,","MD - Dermatology, MBBS","Dr. ,Nishant Makhija"
 (23 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-anshul-agarwal-dermatologist?lpt=PS-SRP,Dermatologist,"8, Years experience",,Raipur,Chhattisgarh ,"I-Derma by Dr. Anshul Agrawal, ",",Raipur,,","MBBS, Diploma in Dermatology, Venerology & Leprosy","Dr. ,Anshul Agarwal"
 (27 ratings),,https://www.lybrate.com/raipur/doctor/dr-aditi-tiwary-dentist?lpt=PS-SRP,Dentist,"21, Years experience",,Raipur,Chhattisgarh ,"Tiwary Dental Clinic, ",",Raipur,,","Certified BPS Dentist, Certified Implantologist, BDS","Dr. ,Aditi Tiwary"
 (30 ratings),,https://www.lybrate.com/raipur/doctor/dr-smc-hospital-gynaecologist?lpt=PS-SRP,Gynaecologist,experience not found,,Raipur,Chhattisgarh ,"SMC Heart Institute & IVF Research  ..., ","Ashoka Ratan,,,Raipur,",,Smc Hospital
 (16 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-manoj-agarwala-dermatologist?lpt=PS-SRP,Dermatologist,"12, Years experience",,Raipur,Chhattisgarh ,"M A Skin & Hair Clinic, ",",Raipur,,","MD - Dermatology , Venereology & Leprosy, MBBS","Dr. ,Manoj Agarwala"
 (22 ratings),7 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-lalita-rao-gynaecologist?lpt=PS-SRP,Gynaecologist,"28, Years experience",,Raipur,Chhattisgarh ,"Subbarao Hospital, ","Fafadih,,,Raipur,","MBBS and DGO (Obstetrics & gynecology), MBBS","Dr. ,Lalita Rao"
 (19 ratings),2 patient feedback(s),https://www.lybrate.com/jodhpur/doctor/dr-asg-eye-hospital-ophthalmologist?lpt=PS-SRP,Ophthalmologist,"4, Years experience",,Raipur,Chhattisgarh ,"ASG Eye Hospital - Raipur, ","Shankar Nagar,,,Raipur,",ABC,Asg Eye Hospital
 (10 ratings),,https://www.lybrate.com/raipur/doctor/dr-satish-suryavanshi-cardiologist?lpt=PS-SRP,Cardiologist,"24, Years experience",,Raipur,Chhattisgarh ,"SMC Heart Institute & IVF Research  ..., ","Ashoka Ratan,,,Raipur,","MBBS, MD - Medicine, DM - Cardiology","Dr. ,Satish Suryavanshi"
rating not found,3 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-gauri-patil-dermatologist?lpt=PS-SRP,Dermatologist,"5, Years experience",,Raipur,Chhattisgarh ,"Dr Gauri's Skin & Hair Clinic (Raip ..., ","Moudhapara,,,Raipur,",Diploma In Dermatology And Venerology And Leprosy (DDVL),"Dr. ,Gauri Patil"
 (58 ratings),3 patient feedback(s),https://www.lybrate.com/ghaziabad/doctor/dr-saurabh-gupta-orthopedist?lpt=PS-SRP,Orthopedist,"15, Years experience",,Raipur,Chhattisgarh ,"Dev Bone and Joint Clinic, ",",Raipur,,","Mch Orthopaedic, DNB (Orthopedics), Diploma In Orthopaedics (D. Ortho), MBBS","Dr. ,Saurabh Gupta"
 (48 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-shantanu-tiwari-general-surgeon?lpt=PS-SRP,General Surgeon,"17, Years experience",,Raipur,Chhattisgarh ,"Tiwari Nursing Home, ","Civil Lines,,,Raipur,","MBBS Bachelor of Medicine and Bachelor of Surgery, DNB ( General Surgery ), Fellowship in Minimal Access Surgery, Senior Residency Training Program (Surgical Oncology)","Dr. ,Shantanu Tiwari"
 (10 ratings),,https://www.lybrate.com/raipur/doctor/dr-gaurav-tripathi-cardiologist?lpt=PS-SRP,Cardiologist,"11, Years experience",,Raipur,Chhattisgarh ,"Suyash Hospital, ","kota,,,Raipur,","MBBS, MD - General Medicine, DM - Cardiology","Dr. ,Gaurav Tripathi"
 (470 ratings),21 patient feedback(s),https://www.lybrate.com/bargarh/doctor/dr-srinivasa-debata-ayurveda?lpt=PS-SRP,Ayurveda,"12, Years experience",,Raipur,Chhattisgarh ,"PRATIMA AYURVEDIC AGENCY, ","Shankar Nagar,,,Raipur,","Bachelor of Ayurveda, Medicine and Surgery (BAMS), BTCM, DTCM","Dr. ,Srinivasa Debata"
 (42 ratings),1 patient feedback,https://www.lybrate.com/jaipur/doctor/dr-javed-parvez-cardiologist?lpt=PS-SRP,Cardiologist,"7, Years experience",,Raipur,Chhattisgarh ,"Ramkrishna CARE Hospitals, ","Dhamtari Road,,,Raipur,","MD- General Medicine, DM - Cardiology","Dr. ,Javed Parvez"
 (10 ratings),,https://www.lybrate.com/raipur/doctor/dr-manisha-mairal-psychologist?lpt=PS-SRP,Psychologist,"28, Years experience",,Raipur,Chhattisgarh ,"Bhilai Psycho Centre, ","Moti Bagh Chowk,,,Raipur,","MA - Psychology, M.Phil - Psychology, PGDPC (Post Graduation Diploma In Psychological Counselling)","Dr. ,Manisha Mairal"
 (20 ratings),,https://www.lybrate.com/raipur/doctor/dr-ankur-gupta-orthopedist?lpt=PS-SRP,Orthopedist,"20, Years experience",,Raipur,Chhattisgarh ,"SADBHAVNA CLINIC, ","RDA Colony,,,Raipur,","MBBS, MS - Orthopaedics, MCH","Dr. ,Ankur Gupta"
rating not found,4 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-garima-sharma-jha-dermatologist?lpt=PS-SRP,Dermatologist,"9, Years experience",,Raipur,Chhattisgarh ,"Reyouth Skin & Hair Care Clinic, ","Samta Colony,,,Raipur,","MBBS, MD - Dermatology","Dr. ,Garima Sharma Jha"
rating not found,2 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-yogesh-barapatre-urologist?lpt=PS-SRP,Urologist,"7, Years experience",,Raipur,Chhattisgarh ,"LOTUS HOSPITAL AND ADVANCE UROLOGY  ..., ",",Raipur,,",M.Ch - Urology,"Dr. ,Yogesh Barapatre"
rating not found,,https://www.lybrate.com/raipur/doctor/dr-k-s-pandaw-dentist?lpt=PS-SRP,Dentist,"12, Years experience",,Raipur,Chhattisgarh ,"Aakanksha dental care and Implant c ..., ","Avanti Vihar,,,Raipur,",BDS,"Dr. ,K. S. Pandaw"
rating not found,,https://www.lybrate.com/raipur/doctor/dr-sandeep-kumar-pandey-gastroenterologist?lpt=PS-SRP,Gastroenterologist,"29, Years experience",,Raipur,Chhattisgarh ,"RamaKrishna Care Hospitals, ","Dhamtari Road,,,Raipur,","MBBS, MD-Medicine, DM-Gastroenterology","Dr. ,Sandeep Kumar Pandey"
 (10 ratings),2 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-suman-kumar-nag-orthopedist?lpt=PS-SRP,Orthopedist,"20, Years experience",,Raipur,Chhattisgarh ,"Shri Krishna Hospital, ","New Rajendre Nagar,,,Raipur,","MBBS, MS - Orthopaedics, Fellowship In Arthroscopy & Sports Medicine","Dr. ,Suman Kumar Nag"
 (16 ratings),,https://www.lybrate.com/raipur/doctor/dr-jayesh-sharma-general-surgeon?lpt=PS-SRP,General Surgeon,"22, Years experience",,Raipur,Chhattisgarh ,"Balco medical center, ","Sector-4,,,Raipur,","MS, MBBS","Dr. ,Jayesh Sharma"
 (11 ratings),,https://www.lybrate.com/raipur/doctor/dr-santosh-singh-patel-ophthalmologist?lpt=PS-SRP,Ophthalmologist,"19, Years experience",,Raipur,Chhattisgarh ,"Vivekananda Eye Hospital and Resear ..., ","Purani Basti,,,Raipur,","MBBS, MS - Ophthalmology, Fellowship in (FAICO)","Dr. ,Santosh Singh Patel"
 (10 ratings),3 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-sushma-purohit-gynaecologist?lpt=PS-SRP,Gynaecologist,"17, Years experience",,Raipur,Chhattisgarh ,"Kamla Women's Hospital, ","Santoshi Nagar,,,Raipur,","MBBS, MD - Obstetrics & Gynaecology, Fellowship of Gynaecology Oncology, Fellowship in Laparoscopy","Dr. ,Sushma Purohit"
 (12 ratings),6 patient feedback(s),https://www.lybrate.com/raipur/doctor/dr-j-roy-chowdhury-orthopedist?lpt=PS-SRP,Orthopedist,"18, Years experience",,Raipur,Chhattisgarh ,"Farishta Nursing Home, ",",Raipur,,","MBBS Bachelor of Medicine and Bachelor of Surgery, MS - Orthopaedics","Dr. ,J Roy Chowdhury"
rating not found,,https://www.lybrate.com/pondicherry/doctor/dr-debasish-dash-ophthalmologist?lpt=PS-SRP,Ophthalmologist,"7, Years experience",,Raipur,Chhattisgarh ,"MGM Eye Hospital, ","Vidhan Sabha Marg,,,Raipur,","Glaucoma fellowship, MS - Ophthalmology","Dr. ,Debasish Dash"
 (48 ratings),1 patient feedback,https://www.lybrate.com/raipur/doctor/dr-rituraj-taank-ayurveda?lpt=PS-SRP,Ayurveda,"13, Years experience",,Raipur,Chhattisgarh ,"Charak Health Clinic, ","Mowa,,,Raipur,","BAMS, P.G. Diploma in Panchkarma","Dr. ,Rituraj Taank"
 (269 ratings),63 patient feedback(s),https://www.lybrate.com/kanpur/doctor/jivaayurveda?lpt=PS-SRP,Ayurveda,"21, Years experience",,Jamshedpur,Jharkhand ,"Jiva Ayurveda - Jamshedpur, ","Bistupur,,,Jamshedpur,","Bachelor of Ayurveda, Medicine and Surgery (BAMS)",Jiva Ayurveda
 (864 ratings),39 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-atul-taneja-dermatologist?lpt=PS-SRP,Dermatologist,"25, Years experience",,Jamshedpur,Jharkhand ,"Apollo Clinic, ","Bistupur,,,Jamshedpur,","MD (AIIMS), Clinical Fellow,Skin Oncology(New England Medical Centre & Boston University,USA), Clinical Fellow.Photomedicine(Mass.Gen.Hospital,Harvard Medical School,USA), Clinical Fellow,Laser Surgery(Mass.Gen Hospital,Harvard Medical School,USA)","Dr. ,Atul Taneja"
 (38 ratings),12 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-kundan-kumar-gastroenterologist?lpt=PS-SRP,Gastroenterologist,"9, Years experience",,Jamshedpur,Jharkhand ,"Gastro Clinic, ",",Jamshedpur,,","MD - Internal Medicine, DNB (General Medicine), DM - Gastroenterology, DNB-Gastroenterology, Gastro SCE","Dr. ,Kundan Kumar"
 (151 ratings),39 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-harprit-singh-urologist?lpt=PS-SRP,Urologist,"21, Years experience",,Jamshedpur,Jharkhand ,"Urology Clinic, ","Sakchi,,,Jamshedpur,","MS General Surgery, DNB( Urology)","Dr. ,Harprit Singh"
 (329 ratings),14 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-harkirat-s-wilkhoo-homeopath?lpt=PS-SRP,Homeopath,"20, Years experience",,Jamshedpur,Jharkhand ,"Wilkhoo Homeo Clinic, ","Telco Colony,,,Jamshedpur,","BHMS, Certificate in Sex Education & Parenthood, PG Dip (Preventive & Promotive Healthcare), Dip in LSM (Prescribing Exercises), Dip in LSM (Metabolic Disroders & Nutrition), Dip in Occupational health & industrial hygiene., MBA (Healthcare), Certificate in Good Clinical Practice, Dip in Healthcare Quality, Core Competency In Lifestyle Medicine, CHWA-USA","Dr. ,Harkirat S Wilkhoo"
 (45 ratings),7 patient feedback(s),https://www.lybrate.com/kolkata/doctor/dr-rajeev-agarwal-gynaecologist?lpt=PS-SRP,IVF Specialist,"18, Years experience",,Jamshedpur,Jharkhand ,"Care IVF, ",",Jamshedpur,,","MD - Obstetrtics & Gynaecology, Advanced Infertility",Care Ivf
 (49 ratings),2 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-mahesh-hembram-psychiatrist?lpt=PS-SRP,Psychiatrist,"17, Years experience",,Jamshedpur,Jharkhand ,"Healing Minds, ",",Jamshedpur,,","MBBS Bachelor of Medicine and Bachelor of Surgery, MD - Psychiatry, DPM","Dr. ,Mahesh Hembram"
 (49 ratings),9 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-soni-narayan-general-physician-1?lpt=PS-SRP,General Physician,"9, Years experience",,Jamshedpur,Jharkhand ,"ChiKitsa, ","Mango,,,Jamshedpur,",MD - Medicine,"Dr. ,Soni Narayan"
 (63 ratings),6 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-vishal-lodha-dentist?lpt=PS-SRP,Dentist,"12, Years experience",,Jamshedpur,Jharkhand ,"Ujjwal Oral & Dental Care, ","Sakchi,,,Jamshedpur,","MDS Endodontist, BDS","Dr. ,Vishal Lodha"
 (19 ratings),2 patient feedback(s),https://www.lybrate.com/jodhpur/doctor/dr-asg-eye-hospital-ophthalmologist?lpt=PS-SRP,Ophthalmologist,"4, Years experience",,Jamshedpur,Jharkhand ,"ASG Eye Hospital - Jamshedpur, ","Sakchi,,,Jamshedpur,",ABC,Asg Eye Hospital
 (11 ratings),5 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-rohit-kumar-orthopedist?lpt=PS-SRP,Orthopedist,"12, Years experience",,Jamshedpur,Jharkhand ,"Kaavya Orthopaedic Clinic, ","Sakchi,,,Jamshedpur,","MBBS, MS - Orthopaedics, Membership of the Royal College of Surgeons (MRCS)","Dr. ,Rohit Kumar"
 (69 ratings),,https://www.lybrate.com/fatehpur/doctor/dr-mahesh-kumar-yadav-general-physician?lpt=PS-SRP,General Physician,"18, Years experience",,Jamshedpur,Jharkhand ,"MGM Medical College, ","Sakchi,,,Jamshedpur,",MBBS,"Dr. ,Mahesh Kumar Yadav"
 (675 ratings),6 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-manoj-sahoo-psychiatrist?lpt=PS-SRP,Psychiatrist,"13, Years experience",,Jamshedpur,Jharkhand ,"Neuro psychiatry and child guidance ..., ","Kadma,,,Jamshedpur,",MD- PSYCHIATRIST,"Dr. ,Manoj Sahoo"
rating not found,2 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-bibhuti-bhushan-ophthalmologist?lpt=PS-SRP,Ophthalmologist,"22, Years experience",,Jamshedpur,Jharkhand ,"Vishnu Nethralaya, ","Golmuri,,,Jamshedpur,",MS - Ophthalmology,"Dr. ,Bibhuti Bhushan"
rating not found,,https://www.lybrate.com/jamshedpur/doctor/dr-ritesh-kauntia-nephrologist?lpt=PS-SRP,Nephrologist,"12, Years experience",,Jamshedpur,Jharkhand ,"LIFE LINE NURSING HOME(EVERY 3RD SA ..., ","Sakchi,,,Jamshedpur,","MBBS, MD - General Medicine, DNB (Nephrology)","Dr. ,Ritesh Kauntia"
 (2116 ratings),5 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-shubhra-dwivedy-dentist?lpt=PS-SRP,Dentist,"20, Years experience",,Jamshedpur,Jharkhand ,"Dental care, ","Sakchi,,,Jamshedpur,",BDS (GOLD MEDALIST),"Dr. ,Shubhra Dwivedy"
 (14 ratings),1 patient feedback,https://www.lybrate.com/jamshedpur/doctor/dr-biju-gopal-dentist?lpt=PS-SRP,Dentist,"10, Years experience",,Jamshedpur,Jharkhand ,"shree gopal dental clinic, ","Adityapur,,,Jamshedpur,","BDS, Manipal University","Dr. ,Biju Gopal"
 (109 ratings),15 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-major-alok-kumar-dentist?lpt=PS-SRP,Dentist,"18, Years experience",,Jamshedpur,Jharkhand ,"Smiles N Braces Orthodontic Care Ce ..., ","Mango,,,Jamshedpur,","MDS - Orthodontics, BDS","Dr. ,(Major) Alok Kumar"
 (75 ratings),3 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-ranjeet-kumar-physiotherapist?lpt=PS-SRP,Physiotherapist,"9, Years experience",,Jamshedpur,Jharkhand ,"SPARSH PHYSIOTHERAPY CLINIC, ","Sonari,,,Jamshedpur,","BPTh/BPT, MPT - Orthopedic Physiotherapy","Dr. ,Ranjeet Kumar"
 (10 ratings),,https://www.lybrate.com/jamshedpur/doctor/dr-mohammed-asif-khan-dentist?lpt=PS-SRP,Dentist,"9, Years experience",,Jamshedpur,Jharkhand ,"Rumana's Dental clinic and Implant  ..., ","Sakchi,,,jamshedpur,","MDS Prosthodontics, BDS","Dr. ,Mohammed Asif Khan"
rating not found,,https://www.lybrate.com/jamshedpur/doctor/dr-santanu-biswas-dentist?lpt=PS-SRP,Dentist,"5, Years experience",,Jamshedpur,Jharkhand ,"The Dent-o-Care Dental Mini Hub, ",",Jamshedpur,,",BDS,"Dr. ,Santanu Biswas"
rating not found,3 patient feedback(s),https://www.lybrate.com/jamshedpur/doctor/dr-indrajeet-ghosh-dentist?lpt=PS-SRP,Dentist,"21, Years experience",,Jamshedpur,Jharkhand ,"Dental Zone, ","Sakchi,,,Jamshedpur,","BDS, M.Med.Sci","Dr. ,Indrajeet Ghosh"
rating not found,,https://www.lybrate.com/jamshedpur/doctor/mr-azitabh-gautam-psychologist?lpt=PS-SRP,Psychologist,"16, Years experience",,Jamshedpur,Jharkhand ,"pshyco Syrup, ","Sakchi,,,Jamshedpur,",PG Clinical Psychology,"Mr. ,Ajitabh Gautam"
 (87 ratings),65 patient feedback(s),https://www.lybrate.com/delhi/doctor/dr-jiva-ayurveda-ayurveda-1?lpt=PS-SRP,Ayurveda,"21, Years experience",,Jamshedpur,Jharkhand ,"Jiva Ayurveda - Jamshedpur, ","Bistupur,,,Jamshedpur,","Bachelor of Ayurveda, Medicine and Surgery (BAMS)",Jiva Ayurveda
